"","MEblue","MEbrown","MEturquoise","MEgrey"
"CRC_01",-0.228940064527348,-0.0921054603149037,0.399737053890499,-0.0991317543040867
"CRC_02",-0.208168628527109,-0.0469437514985678,0.194069609761963,-0.0266785803205648
"CRC_03",-0.215066268396715,-0.0612272796488361,0.178926563839863,-0.0338651522079547
"CRC_04",-0.211136378929645,0.958647756109047,0.211465095314786,-0.0999652450648807
"CRC_05",-0.219819316177307,-0.0693523278131342,0.321053577309268,-0.0772278901171766
"CRC_06",-0.232898916882349,-0.0741088749960356,0.165521532127806,-0.0468404546453123
"CRC_07",-0.21572161877553,-0.0674295165608731,0.0886498205702131,-0.0619909975487841
"CRC_08",-0.235280059979721,-0.0676931703257149,0.149000718193265,0.0332491288796795
"CRC_09",-0.202413958232605,-0.0404172523910468,0.108577365873124,0.0183763927339951
"CRC_10",-0.227663116261481,0.0927815678735038,0.310870085337275,0.0160332356722855
"Ctrl_01",0.23249505450265,-0.0612882504827162,-0.218162253705911,-0.135540525656222
"Ctrl_02",0.229532399114186,-0.065748239420564,-0.180123776251303,-0.0944212439254799
"Ctrl_03",0.240423649845524,-0.088438289524717,-0.214860470088883,-0.0821878278354138
"Ctrl_04",0.364944076453067,-0.0110973138921532,-0.205381600106295,-0.132535143286704
"Ctrl_05",0.206963662725448,0.00384070244313214,-0.186461296641436,0.0733711320204952
"Ctrl_06",0.227278991835543,-0.0805076179531664,-0.228988385768662,-0.100482573162663
"Ctrl_07",0.155986996654734,-0.0718703752036631,-0.235394250450941,0.940010914622621
"Ctrl_08",0.148901785431258,-0.070783488106819,-0.195178580065054,-0.116448059222663
"Ctrl_09",0.171144103505837,-0.0278015839897043,-0.246243889839863,0.0150084384973127
"Ctrl_10",0.219437606621561,-0.0584572343030666,-0.217076919299715,0.0112662048715165
